𑒀 Tirhuta Anji
𑒁 Tirhuta Letter A
𑒂 Tirhuta Letter Aa
𑒃 Tirhuta Letter I
𑒄 Tirhuta Letter Ii
𑒅 Tirhuta Letter U
𑒆 Tirhuta Letter Uu
𑒇 Tirhuta Letter Vocalic R
𑒈 Tirhuta Letter Vocalic Rr
𑒉 Tirhuta Letter Vocalic L
𑒊 Tirhuta Letter Vocalic Ll
𑒋 Tirhuta Letter E
𑒌 Tirhuta Letter Ai
𑒍 Tirhuta Letter O
𑒎 Tirhuta Letter Au
𑒏 Tirhuta Letter Ka
𑒐 Tirhuta Letter Kha
𑒑 Tirhuta Letter Ga
𑒒 Tirhuta Letter Gha
𑒓 Tirhuta Letter Nga
𑒔 Tirhuta Letter Ca
𑒕 Tirhuta Letter Cha
𑒖 Tirhuta Letter Ja
𑒗 Tirhuta Letter Jha
𑒘 Tirhuta Letter Nya
𑒙 Tirhuta Letter Tta
𑒚 Tirhuta Letter Ttha
𑒛 Tirhuta Letter Dda
𑒜 Tirhuta Letter Ddha
𑒝 Tirhuta Letter Nna
𑒞 Tirhuta Letter Ta
𑒟 Tirhuta Letter Tha
𑒠 Tirhuta Letter Da
𑒡 Tirhuta Letter Dha
𑒢 Tirhuta Letter Na
𑒣 Tirhuta Letter Pa
𑒤 Tirhuta Letter Pha
𑒥 Tirhuta Letter Ba
𑒦 Tirhuta Letter Bha
𑒧 Tirhuta Letter Ma
𑒨 Tirhuta Letter Ya
𑒩 Tirhuta Letter Ra
𑒪 Tirhuta Letter La
𑒫 Tirhuta Letter Va
𑒬 Tirhuta Letter Sha
𑒭 Tirhuta Letter Ssa
𑒮 Tirhuta Letter Sa
𑒯 Tirhuta Letter Ha
𑒰 Tirhuta Vowel Sign Aa
𑒱 Tirhuta Vowel Sign I
𑒲 Tirhuta Vowel Sign Ii
𑒳 Tirhuta Vowel Sign U
𑒴 Tirhuta Vowel Sign Uu
𑒵 Tirhuta Vowel Sign Vocalic R
𑒶 Tirhuta Vowel Sign Vocalic Rr
𑒷 Tirhuta Vowel Sign Vocalic L
𑒸 Tirhuta Vowel Sign Vocalic Ll
𑒹 Tirhuta Vowel Sign E
𑒺 Tirhuta Vowel Sign Short E
𑒻 Tirhuta Vowel Sign Ai
𑒼 Tirhuta Vowel Sign O
𑒽 Tirhuta Vowel Sign Short O
𑒾 Tirhuta Vowel Sign Au
𑒿 Tirhuta Sign Candrabindu
𑓀 Tirhuta Sign Anusvara
𑓁 Tirhuta Sign Visarga
𑓂 Tirhuta Sign Virama
𑓃 Tirhuta Sign Nukta
𑓄 Tirhuta Sign Avagraha
𑓅 Tirhuta Gvang
𑓆 Tirhuta Abbreviation Sign
𑓇 Tirhuta Om
𑓐 Tirhuta Digit Zero
𑓑 Tirhuta Digit One
𑓒 Tirhuta Digit Two
𑓓 Tirhuta Digit Three
𑓔 Tirhuta Digit Four
𑓕 Tirhuta Digit Five
𑓖 Tirhuta Digit Six
𑓗 Tirhuta Digit Seven
𑓘 Tirhuta Digit Eight
𑓙 Tirhuta Digit Nine
