𐗀 Todhri Letter A
𐗁 Todhri Letter As
𐗂 Todhri Letter Ba
𐗃 Todhri Letter Mba
𐗄 Todhri Letter Ca
𐗅 Todhri Letter Cha
𐗆 Todhri Letter Da
𐗇 Todhri Letter Nda
𐗈 Todhri Letter Dha
𐗉 Todhri Letter Ei
𐗊 Todhri Letter E
𐗋 Todhri Letter Fa
𐗌 Todhri Letter Ga
𐗍 Todhri Letter Nga
𐗎 Todhri Letter Gja
𐗏 Todhri Letter Ngja
𐗐 Todhri Letter Ha
𐗑 Todhri Letter Hja
𐗒 Todhri Letter I
𐗓 Todhri Letter Ja
𐗔 Todhri Letter Ka
𐗕 Todhri Letter La
𐗖 Todhri Letter Lla
𐗗 Todhri Letter Ma
𐗘 Todhri Letter Na
𐗙 Todhri Letter Njan
𐗚 Todhri Letter O
𐗛 Todhri Letter Pa
𐗜 Todhri Letter Qa
𐗝 Todhri Letter Ra
𐗞 Todhri Letter Rra
𐗟 Todhri Letter Sa
𐗠 Todhri Letter Sha
𐗡 Todhri Letter Shta
𐗢 Todhri Letter Ta
𐗣 Todhri Letter Tha
𐗤 Todhri Letter U
𐗥 Todhri Letter Va
𐗦 Todhri Letter Xa
𐗧 Todhri Letter Nxa
𐗨 Todhri Letter Xha
𐗩 Todhri Letter Nxha
𐗪 Todhri Letter Y
𐗫 Todhri Letter Jy
𐗬 Todhri Letter Za
𐗭 Todhri Letter Zha
𐗮 Todhri Letter Gha
𐗯 Todhri Letter Sta
𐗰 Todhri Letter Skan
𐗱 Todhri Letter Kha
𐗲 Todhri Letter Psa
𐗳 Todhri Letter Oo
