𑶰 Tolong Siki Letter I
𑶱 Tolong Siki Letter E
𑶲 Tolong Siki Letter U
𑶳 Tolong Siki Letter O
𑶴 Tolong Siki Letter A
𑶵 Tolong Siki Letter Aa
𑶶 Tolong Siki Letter P
𑶷 Tolong Siki Letter Ph
𑶸 Tolong Siki Letter B
𑶹 Tolong Siki Letter Bh
𑶺 Tolong Siki Letter M
𑶻 Tolong Siki Letter T
𑶼 Tolong Siki Letter Th
𑶽 Tolong Siki Letter D
𑶾 Tolong Siki Letter Dh
𑶿 Tolong Siki Letter N
𑷀 Tolong Siki Letter Tt
𑷁 Tolong Siki Letter Tth
𑷂 Tolong Siki Letter Dd
𑷃 Tolong Siki Letter Ddh
𑷄 Tolong Siki Letter Nn
𑷅 Tolong Siki Letter C
𑷆 Tolong Siki Letter Ch
𑷇 Tolong Siki Letter J
𑷈 Tolong Siki Letter Jh
𑷉 Tolong Siki Letter Ny
𑷊 Tolong Siki Letter K
𑷋 Tolong Siki Letter Kh
𑷌 Tolong Siki Letter G
𑷍 Tolong Siki Letter Gh
𑷎 Tolong Siki Letter Ng
𑷏 Tolong Siki Letter Y
𑷐 Tolong Siki Letter R
𑷑 Tolong Siki Letter L
𑷒 Tolong Siki Letter V
𑷓 Tolong Siki Letter Nny
𑷔 Tolong Siki Letter S
𑷕 Tolong Siki Letter H
𑷖 Tolong Siki Letter X
𑷗 Tolong Siki Letter Rr
𑷘 Tolong Siki Letter Rrh
𑷙 Tolong Siki Sign Sela
𑷚 Tolong Siki Sign Hecaka
𑷛 Tolong Siki Ungga
𑷠 Tolong Siki Digit Zero
𑷡 Tolong Siki Digit One
𑷢 Tolong Siki Digit Two
𑷣 Tolong Siki Digit Three
𑷤 Tolong Siki Digit Four
𑷥 Tolong Siki Digit Five
𑷦 Tolong Siki Digit Six
𑷧 Tolong Siki Digit Seven
𑷨 Tolong Siki Digit Eight
𑷩 Tolong Siki Digit Nine
