𑎀 Tulu-Tigalari Letter A
𑎁 Tulu-Tigalari Letter Aa
𑎂 Tulu-Tigalari Letter I
𑎃 Tulu-Tigalari Letter Ii
𑎄 Tulu-Tigalari Letter U
𑎅 Tulu-Tigalari Letter Uu
𑎆 Tulu-Tigalari Letter Vocalic R
𑎇 Tulu-Tigalari Letter Vocalic Rr
𑎈 Tulu-Tigalari Letter Vocalic L
𑎉 Tulu-Tigalari Letter Vocalic Ll
𑎋 Tulu-Tigalari Letter Ee
𑎎 Tulu-Tigalari Letter Ai
𑎐 Tulu-Tigalari Letter Oo
𑎑 Tulu-Tigalari Letter Au
𑎒 Tulu-Tigalari Letter Ka
𑎓 Tulu-Tigalari Letter Kha
𑎔 Tulu-Tigalari Letter Ga
𑎕 Tulu-Tigalari Letter Gha
𑎖 Tulu-Tigalari Letter Nga
𑎗 Tulu-Tigalari Letter Ca
𑎘 Tulu-Tigalari Letter Cha
𑎙 Tulu-Tigalari Letter Ja
𑎚 Tulu-Tigalari Letter Jha
𑎛 Tulu-Tigalari Letter Nya
𑎜 Tulu-Tigalari Letter Tta
𑎝 Tulu-Tigalari Letter Ttha
𑎞 Tulu-Tigalari Letter Dda
𑎟 Tulu-Tigalari Letter Ddha
𑎠 Tulu-Tigalari Letter Nna
𑎡 Tulu-Tigalari Letter Ta
𑎢 Tulu-Tigalari Letter Tha
𑎣 Tulu-Tigalari Letter Da
𑎤 Tulu-Tigalari Letter Dha
𑎥 Tulu-Tigalari Letter Na
𑎦 Tulu-Tigalari Letter Pa
𑎧 Tulu-Tigalari Letter Pha
𑎨 Tulu-Tigalari Letter Ba
𑎩 Tulu-Tigalari Letter Bha
𑎪 Tulu-Tigalari Letter Ma
𑎫 Tulu-Tigalari Letter Ya
𑎬 Tulu-Tigalari Letter Ra
𑎭 Tulu-Tigalari Letter La
𑎮 Tulu-Tigalari Letter Va
𑎯 Tulu-Tigalari Letter Sha
𑎰 Tulu-Tigalari Letter Ssa
𑎱 Tulu-Tigalari Letter Sa
𑎲 Tulu-Tigalari Letter Ha
𑎳 Tulu-Tigalari Letter Lla
𑎴 Tulu-Tigalari Letter Rra
𑎵 Tulu-Tigalari Letter Llla
𑎷 Tulu-Tigalari Sign Avagraha
𑎸 Tulu-Tigalari Vowel Sign Aa
𑎹 Tulu-Tigalari Vowel Sign I
𑎺 Tulu-Tigalari Vowel Sign Ii
𑎻 Tulu-Tigalari Vowel Sign U
𑎼 Tulu-Tigalari Vowel Sign Uu
𑎽 Tulu-Tigalari Vowel Sign Vocalic R
𑎾 Tulu-Tigalari Vowel Sign Vocalic Rr
𑎿 Tulu-Tigalari Vowel Sign Vocalic L
𑏀 Tulu-Tigalari Vowel Sign Vocalic Ll
𑏂 Tulu-Tigalari Vowel Sign Ee
𑏅 Tulu-Tigalari Vowel Sign Ai
𑏇 Tulu-Tigalari Vowel Sign Oo
𑏈 Tulu-Tigalari Vowel Sign Au
𑏉 Tulu-Tigalari Au Length Mark
𑏊 Tulu-Tigalari Sign Candra Anunasika
𑏌 Tulu-Tigalari Sign Anusvara
𑏍 Tulu-Tigalari Sign Visarga
𑏎 Tulu-Tigalari Sign Virama
𑏏 Tulu-Tigalari Sign Looped Virama
𑏐 Tulu-Tigalari Conjoiner
𑏑 Tulu-Tigalari Repha
𑏒 Tulu-Tigalari Gemination Mark
𑏓 Tulu-Tigalari Sign Pluta
𑏔 Tulu-Tigalari Danda
𑏕 Tulu-Tigalari Double Danda
𑏗 Tulu-Tigalari Sign Om Pushpika
𑏘 Tulu-Tigalari Sign Shrii Pushpika
𑏡 Tulu-Tigalari Vedic Tone Svarita
𑏢 Tulu-Tigalari Vedic Tone Anudatta
