󠄀 Variation Selector-17
󠄁 Variation Selector-18
󠄂 Variation Selector-19
󠄃 Variation Selector-20
󠄄 Variation Selector-21
󠄅 Variation Selector-22
󠄆 Variation Selector-23
󠄇 Variation Selector-24
󠄈 Variation Selector-25
󠄉 Variation Selector-26
󠄊 Variation Selector-27
󠄋 Variation Selector-28
󠄌 Variation Selector-29
󠄍 Variation Selector-30
󠄎 Variation Selector-31
󠄏 Variation Selector-32
󠄐 Variation Selector-33
󠄑 Variation Selector-34
󠄒 Variation Selector-35
󠄓 Variation Selector-36
󠄔 Variation Selector-37
󠄕 Variation Selector-38
󠄖 Variation Selector-39
󠄗 Variation Selector-40
󠄘 Variation Selector-41
󠄙 Variation Selector-42
󠄚 Variation Selector-43
󠄛 Variation Selector-44
󠄜 Variation Selector-45
󠄝 Variation Selector-46
󠄞 Variation Selector-47
󠄟 Variation Selector-48
󠄠 Variation Selector-49
󠄡 Variation Selector-50
󠄢 Variation Selector-51
󠄣 Variation Selector-52
󠄤 Variation Selector-53
󠄥 Variation Selector-54
󠄦 Variation Selector-55
󠄧 Variation Selector-56
󠄨 Variation Selector-57
󠄩 Variation Selector-58
󠄪 Variation Selector-59
󠄫 Variation Selector-60
󠄬 Variation Selector-61
󠄭 Variation Selector-62
󠄮 Variation Selector-63
󠄯 Variation Selector-64
󠄰 Variation Selector-65
󠄱 Variation Selector-66
󠄲 Variation Selector-67
󠄳 Variation Selector-68
󠄴 Variation Selector-69
󠄵 Variation Selector-70
󠄶 Variation Selector-71
󠄷 Variation Selector-72
󠄸 Variation Selector-73
󠄹 Variation Selector-74
󠄺 Variation Selector-75
󠄻 Variation Selector-76
󠄼 Variation Selector-77
󠄽 Variation Selector-78
󠄾 Variation Selector-79
󠄿 Variation Selector-80
󠅀 Variation Selector-81
󠅁 Variation Selector-82
󠅂 Variation Selector-83
󠅃 Variation Selector-84
󠅄 Variation Selector-85
󠅅 Variation Selector-86
󠅆 Variation Selector-87
󠅇 Variation Selector-88
󠅈 Variation Selector-89
󠅉 Variation Selector-90
󠅊 Variation Selector-91
󠅋 Variation Selector-92
󠅌 Variation Selector-93
󠅍 Variation Selector-94
󠅎 Variation Selector-95
󠅏 Variation Selector-96
󠅐 Variation Selector-97
󠅑 Variation Selector-98
󠅒 Variation Selector-99
󠅓 Variation Selector-100
󠅔 Variation Selector-101
󠅕 Variation Selector-102
󠅖 Variation Selector-103
󠅗 Variation Selector-104
󠅘 Variation Selector-105
󠅙 Variation Selector-106
󠅚 Variation Selector-107
󠅛 Variation Selector-108
󠅜 Variation Selector-109
󠅝 Variation Selector-110
󠅞 Variation Selector-111
󠅟 Variation Selector-112
󠅠 Variation Selector-113
󠅡 Variation Selector-114
󠅢 Variation Selector-115
󠅣 Variation Selector-116
󠅤 Variation Selector-117
󠅥 Variation Selector-118
󠅦 Variation Selector-119
󠅧 Variation Selector-120
󠅨 Variation Selector-121
󠅩 Variation Selector-122
󠅪 Variation Selector-123
󠅫 Variation Selector-124
󠅬 Variation Selector-125
󠅭 Variation Selector-126
