𑨀 Zanabazar Square Letter A
𑨁 Zanabazar Square Vowel Sign I
𑨂 Zanabazar Square Vowel Sign Ue
𑨃 Zanabazar Square Vowel Sign U
𑨄 Zanabazar Square Vowel Sign E
𑨅 Zanabazar Square Vowel Sign Oe
𑨆 Zanabazar Square Vowel Sign O
𑨇 Zanabazar Square Vowel Sign Ai
𑨈 Zanabazar Square Vowel Sign Au
𑨉 Zanabazar Square Vowel Sign Reversed I
𑨊 Zanabazar Square Vowel Length Mark
𑨋 Zanabazar Square Letter Ka
𑨌 Zanabazar Square Letter Kha
𑨍 Zanabazar Square Letter Ga
𑨎 Zanabazar Square Letter Gha
𑨏 Zanabazar Square Letter Nga
𑨐 Zanabazar Square Letter Ca
𑨑 Zanabazar Square Letter Cha
𑨒 Zanabazar Square Letter Ja
𑨓 Zanabazar Square Letter Nya
𑨔 Zanabazar Square Letter Tta
𑨕 Zanabazar Square Letter Ttha
𑨖 Zanabazar Square Letter Dda
𑨗 Zanabazar Square Letter Ddha
𑨘 Zanabazar Square Letter Nna
𑨙 Zanabazar Square Letter Ta
𑨚 Zanabazar Square Letter Tha
𑨛 Zanabazar Square Letter Da
𑨜 Zanabazar Square Letter Dha
𑨝 Zanabazar Square Letter Na
𑨞 Zanabazar Square Letter Pa
𑨟 Zanabazar Square Letter Pha
𑨠 Zanabazar Square Letter Ba
𑨡 Zanabazar Square Letter Bha
𑨢 Zanabazar Square Letter Ma
𑨣 Zanabazar Square Letter Tsa
𑨤 Zanabazar Square Letter Tsha
𑨥 Zanabazar Square Letter Dza
𑨦 Zanabazar Square Letter Dzha
𑨧 Zanabazar Square Letter Zha
𑨨 Zanabazar Square Letter Za
𑨩 Zanabazar Square Letter -A
𑨪 Zanabazar Square Letter Ya
𑨫 Zanabazar Square Letter Ra
𑨬 Zanabazar Square Letter La
𑨭 Zanabazar Square Letter Va
𑨮 Zanabazar Square Letter Sha
𑨯 Zanabazar Square Letter Ssa
𑨰 Zanabazar Square Letter Sa
𑨱 Zanabazar Square Letter Ha
𑨲 Zanabazar Square Letter Kssa
𑨳 Zanabazar Square Final Consonant Mark
𑨴 Zanabazar Square Sign Virama
𑨵 Zanabazar Square Sign Candrabindu
𑨶 Zanabazar Square Sign Candrabindu With Ornament
𑨷 Zanabazar Square Sign Candra With Ornament
𑨸 Zanabazar Square Sign Anusvara
𑨹 Zanabazar Square Sign Visarga
𑨺 Zanabazar Square Cluster-Initial Letter Ra
𑨻 Zanabazar Square Cluster-Final Letter Ya
𑨼 Zanabazar Square Cluster-Final Letter Ra
𑨽 Zanabazar Square Cluster-Final Letter La
𑨾 Zanabazar Square Cluster-Final Letter Va
𑨿 Zanabazar Square Initial Head Mark
𑩀 Zanabazar Square Closing Head Mark
𑩁 Zanabazar Square Mark Tsheg
𑩂 Zanabazar Square Mark Shad
𑩃 Zanabazar Square Mark Double Shad
𑩄 Zanabazar Square Mark Long Tsheg
𑩅 Zanabazar Square Initial Double-Lined Head Mark
𑩆 Zanabazar Square Closing Double-Lined Head Mark
𑩇 Zanabazar Square Subjoiner
